Link ID: _y621, 出現回数: 2635, 単位面積当りの出現回数: 38.83, vの平均: 0.42
Link ID: _y1148, 出現回数: 32, 単位面積当りの出現回数: 35.56, vの平均: 0.84
Link ID: _y646, 出現回数: 2782, 単位面積当りの出現回数: 33.10, vの平均: 0.87
Link ID: _y616, 出現回数: 2414, 単位面積当りの出現回数: 29.13, vの平均: 0.54
Link ID: _y1003, 出現回数: 25, 単位面積当りの出現回数: 27.78, vの平均: 0.74
Link ID: _y591, 出現回数: 8102, 単位面積当りの出現回数: 27.70, vの平均: 0.43
Link ID: _y598, 出現回数: 1919, 単位面積当りの出現回数: 26.40, vの平均: 0.56
Link ID: _y304, 出現回数: 2426, 単位面積当りの出現回数: 24.69, vの平均: 0.44
Link ID: _y307, 出現回数: 1809, 単位面積当りの出現回数: 21.73, vの平均: 0.70
Link ID: _y030, 出現回数: 11813, 単位面積当りの出現回数: 21.61, vの平均: 0.44
Link ID: _y609, 出現回数: 2054, 単位面積当りの出現回数: 21.27, vの平均: 0.49
Link ID: _y1092, 出現回数: 19, 単位面積当りの出現回数: 21.11, vの平均: 0.85
Link ID: _y643, 出現回数: 602, 単位面積当りの出現回数: 20.70, vの平均: 0.71
Link ID: _y649, 出現回数: 3558, 単位面積当りの出現回数: 20.03, vの平均: 0.85
Link ID: _y1199, 出現回数: 18, 単位面積当りの出現回数: 20.00, vの平均: 0.84
Link ID: _y599, 出現回数: 6654, 単位面積当りの出現回数: 19.80, vの平均: 0.63
Link ID: _y925, 出現回数: 1704, 単位面積当りの出現回数: 19.64, vの平均: 0.53
Link ID: _y885, 出現回数: 6244, 単位面積当りの出現回数: 18.66, vの平均: 0.88
Link ID: _y230, 出現回数: 16, 単位面積当りの出現回数: 17.78, vの平均: 0.93
Link ID: _y1179, 出現回数: 13, 単位面積当りの出現回数: 14.44, vの平均: 1.01
Link ID: _y1105, 出現回数: 13, 単位面積当りの出現回数: 14.44, vの平均: 0.66
Link ID: _y590, 出現回数: 3630, 単位面積当りの出現回数: 13.66, vの平均: 0.64
Link ID: _y321, 出現回数: 1458, 単位面積当りの出現回数: 13.51, vの平均: 0.94
Link ID: _y202, 出現回数: 960, 単位面積当りの出現回数: 12.38, vの平均: 1.00
Link ID: _y998, 出現回数: 11, 単位面積当りの出現回数: 12.22, vの平均: 0.80
Link ID: _y572, 出現回数: 1171, 単位面積当りの出現回数: 12.04, vの平均: 0.93
Link ID: _y873, 出現回数: 1207, 単位面積当りの出現回数: 11.83, vの平均: 0.94
Link ID: _y658, 出現回数: 462, 単位面積当りの出現回数: 11.81, vの平均: 0.88
Link ID: _y205, 出現回数: 953, 単位面積当りの出現回数: 11.47, vの平均: 0.99
Link ID: _y874, 出現回数: 578, 単位面積当りの出現回数: 11.46, vの平均: 0.92
Link ID: _y171, 出現回数: 493, 単位面積当りの出現回数: 11.27, vの平均: 0.87
Link ID: _y662, 出現回数: 1661, 単位面積当りの出現回数: 11.10, vの平均: 0.68
Link ID: _y886, 出現回数: 2160, 単位面積当りの出現回数: 10.96, vの平均: 0.63
Link ID: _y041, 出現回数: 725, 単位面積当りの出現回数: 10.96, vの平均: 0.91
Link ID: _y029, 出現回数: 614, 単位面積当りの出現回数: 10.43, vの平均: 0.99
Link ID: _y645, 出現回数: 1605, 単位面積当りの出現回数: 10.28, vの平均: 0.64
Link ID: _y580, 出現回数: 3053, 単位面積当りの出現回数: 10.04, vの平均: 0.95
Link ID: _y499, 出現回数: 838, 単位面積当りの出現回数: 9.71, vの平均: 0.86
Link ID: _y429, 出現回数: 3042, 単位面積当りの出現回数: 9.70, vの平均: 1.01
Link ID: _y417, 出現回数: 2423, 単位面積当りの出現回数: 9.58, vの平均: 0.95
Link ID: _y578, 出現回数: 1016, 単位面積当りの出現回数: 9.26, vの平均: 0.67
Link ID: _y891, 出現回数: 1957, 単位面積当りの出現回数: 9.25, vの平均: 0.95
Link ID: _y1138, 出現回数: 530, 単位面積当りの出現回数: 8.61, vの平均: 0.62
Link ID: _y489, 出現回数: 859, 単位面積当りの出現回数: 8.47, vの平均: 0.79
Link ID: _y582, 出現回数: 510, 単位面積当りの出現回数: 8.32, vの平均: 0.98
Link ID: _y644, 出現回数: 369, 単位面積当りの出現回数: 8.15, vの平均: 0.69
Link ID: _y181, 出現回数: 133, 単位面積当りの出現回数: 8.13, vの平均: 0.08
Link ID: _y563, 出現回数: 2447, 単位面積当りの出現回数: 8.03, vの平均: 0.98
Link ID: _y1168, 出現回数: 7, 単位面積当りの出現回数: 7.78, vの平均: 0.99
Link ID: _y173, 出現回数: 436, 単位面積当りの出現回数: 7.76, vの平均: 0.22
Link ID: _y594, 出現回数: 541, 単位面積当りの出現回数: 7.66, vの平均: 0.26
Link ID: _y064, 出現回数: 1801, 単位面積当りの出現回数: 7.63, vの平均: 1.00
Link ID: _y859, 出現回数: 24, 単位面積当りの出現回数: 7.58, vの平均: 0.32
Link ID: _y526, 出現回数: 984, 単位面積当りの出現回数: 7.58, vの平均: 0.87
Link ID: _y689, 出現回数: 347, 単位面積当りの出現回数: 7.54, vの平均: 0.96
Link ID: _y427, 出現回数: 509, 単位面積当りの出現回数: 7.34, vの平均: 1.01
Link ID: _y065, 出現回数: 697, 単位面積当りの出現回数: 7.21, vの平均: 0.97
Link ID: _y691, 出現回数: 1012, 単位面積当りの出現回数: 7.16, vの平均: 1.02
Link ID: _y694, 出現回数: 371, 単位面積当りの出現回数: 7.09, vの平均: 0.83
Link ID: _y302, 出現回数: 1712, 単位面積当りの出現回数: 6.84, vの平均: 0.94
Link ID: _y692, 出現回数: 1744, 単位面積当りの出現回数: 6.82, vの平均: 0.92
Link ID: _y926, 出現回数: 1849, 単位面積当りの出現回数: 6.72, vの平均: 0.86
Link ID: _y1175, 出現回数: 6, 単位面積当りの出現回数: 6.67, vの平均: 1.02
Link ID: _y564, 出現回数: 2977, 単位面積当りの出現回数: 6.64, vの平均: 0.99
Link ID: _y937, 出現回数: 1796, 単位面積当りの出現回数: 6.62, vの平均: 0.91
Link ID: _y882, 出現回数: 651, 単位面積当りの出現回数: 6.56, vの平均: 0.61
Link ID: _y660, 出現回数: 320, 単位面積当りの出現回数: 6.47, vの平均: 0.78
Link ID: _y180, 出現回数: 1679, 単位面積当りの出現回数: 6.47, vの平均: 1.01
Link ID: _y871, 出現回数: 1595, 単位面積当りの出現回数: 6.32, vの平均: 0.84
Link ID: _y079, 出現回数: 3347, 単位面積当りの出現回数: 6.28, vの平均: 1.02
Link ID: _y415, 出現回数: 438, 単位面積当りの出現回数: 6.18, vの平均: 0.78
Link ID: _y467, 出現回数: 1340, 単位面積当りの出現回数: 5.99, vの平均: 1.02
Link ID: _y869, 出現回数: 874, 単位面積当りの出現回数: 5.88, vの平均: 0.55
Link ID: _y655, 出現回数: 261, 単位面積当りの出現回数: 5.86, vの平均: 0.95
Link ID: _y553, 出現回数: 1067, 単位面積当りの出現回数: 5.75, vの平均: 0.94
Link ID: _y433, 出現回数: 728, 単位面積当りの出現回数: 5.59, vの平均: 1.01
Link ID: _y579, 出現回数: 528, 単位面積当りの出現回数: 5.58, vの平均: 0.95
Link ID: _y1084, 出現回数: 5, 単位面積当りの出現回数: 5.56, vの平均: 1.02
Link ID: _y1077, 出現回数: 5, 単位面積当りの出現回数: 5.56, vの平均: 0.96
Link ID: _y575, 出現回数: 419, 単位面積当りの出現回数: 5.38, vの平均: 0.89
Link ID: _y430, 出現回数: 413, 単位面積当りの出現回数: 5.33, vの平均: 1.02
Link ID: _y042, 出現回数: 2168, 単位面積当りの出現回数: 5.31, vの平均: 0.58
Link ID: _y189, 出現回数: 789, 単位面積当りの出現回数: 5.31, vの平均: 0.94
Link ID: _y076, 出現回数: 853, 単位面積当りの出現回数: 5.28, vの平均: 0.87
Link ID: _y619, 出現回数: 803, 単位面積当りの出現回数: 5.16, vの平均: 1.01
Link ID: _y267, 出現回数: 658, 単位面積当りの出現回数: 5.02, vの平均: 0.96
Link ID: _y611, 出現回数: 1429, 単位面積当りの出現回数: 4.81, vの平均: 0.93
Link ID: _y264, 出現回数: 637, 単位面積当りの出現回数: 4.80, vの平均: 0.86
Link ID: _y074, 出現回数: 146, 単位面積当りの出現回数: 4.79, vの平均: 0.87
Link ID: _y464, 出現回数: 410, 単位面積当りの出現回数: 4.76, vの平均: 1.02
Link ID: _y924, 出現回数: 265, 単位面積当りの出現回数: 4.70, vの平均: 0.77
Link ID: _y687, 出現回数: 940, 単位面積当りの出現回数: 4.66, vの平均: 0.93
Link ID: _y647, 出現回数: 219, 単位面積当りの出現回数: 4.62, vの平均: 0.87
Link ID: _y615, 出現回数: 297, 単位面積当りの出現回数: 4.53, vの平均: 0.87
Link ID: _y421, 出現回数: 301, 単位面積当りの出現回数: 4.52, vの平均: 0.70
Link ID: _y664, 出現回数: 600, 単位面積当りの出現回数: 4.50, vの平均: 1.01
Link ID: _y651, 出現回数: 408, 単位面積当りの出現回数: 4.50, vの平均: 1.00
Link ID: _y984, 出現回数: 4, 単位面積当りの出現回数: 4.44, vの平均: 1.02
Link ID: _y1085, 出現回数: 4, 単位面積当りの出現回数: 4.44, vの平均: 0.55
Link ID: _y1005, 出現回数: 4, 単位面積当りの出現回数: 4.44, vの平均: 0.86
Link ID: _y778, 出現回数: 498, 単位面積当りの出現回数: 4.43, vの平均: 0.66
Link ID: _y567, 出現回数: 1719, 単位面積当りの出現回数: 4.36, vの平均: 1.02
Link ID: _y011, 出現回数: 614, 単位面積当りの出現回数: 4.30, vの平均: 0.69
Link ID: _y301, 出現回数: 419, 単位面積当りの出現回数: 4.26, vの平均: 0.94
Link ID: _y265, 出現回数: 650, 単位面積当りの出現回数: 4.20, vの平均: 1.01
Link ID: _y889, 出現回数: 745, 単位面積当りの出現回数: 4.20, vの平均: 0.95
Link ID: _y634, 出現回数: 376, 単位面積当りの出現回数: 4.18, vの平均: 0.69
Link ID: _y322, 出現回数: 1152, 単位面積当りの出現回数: 4.16, vの平均: 0.92
Link ID: _y592, 出現回数: 993, 単位面積当りの出現回数: 4.12, vの平均: 0.99
Link ID: _y653, 出現回数: 351, 単位面積当りの出現回数: 4.09, vの平均: 0.90
Link ID: _y021, 出現回数: 836, 単位面積当りの出現回数: 4.01, vの平均: 0.91
Link ID: _y044, 出現回数: 143, 単位面積当りの出現回数: 3.93, vの平均: 0.95
Link ID: _y867, 出現回数: 1916, 単位面積当りの出現回数: 3.92, vの平均: 0.80
Link ID: _y892, 出現回数: 777, 単位面積当りの出現回数: 3.91, vの平均: 1.00
Link ID: _y460, 出現回数: 922, 単位面積当りの出現回数: 3.90, vの平均: 1.01
Link ID: _y480, 出現回数: 1426, 単位面積当りの出現回数: 3.86, vの平均: 0.99
