Link ID: _y030, 出現回数: 11813, current_velocityが0の割合: 0.48
Link ID: _y591, 出現回数: 8102, current_velocityが0の割合: 0.46
Link ID: _y599, 出現回数: 6654, current_velocityが0の割合: 0.32
Link ID: _y885, 出現回数: 6244, current_velocityが0の割合: 0.05
Link ID: _y327, 出現回数: 4733, current_velocityが0の割合: 0.12
Link ID: _y093, 出現回数: 4434, current_velocityが0の割合: 0.19
Link ID: _y590, 出現回数: 3630, current_velocityが0の割合: 0.26
Link ID: _y649, 出現回数: 3558, current_velocityが0の割合: 0.00
Link ID: _y079, 出現回数: 3347, current_velocityが0の割合: 0.00
Link ID: _y429, 出現回数: 3042, current_velocityが0の割合: 0.01
Link ID: _y564, 出現回数: 2977, current_velocityが0の割合: 0.02
Link ID: _y646, 出現回数: 2782, current_velocityが0の割合: 0.01
Link ID: _y621, 出現回数: 2635, current_velocityが0の割合: 0.42
Link ID: _y563, 出現回数: 2447, current_velocityが0の割合: 0.00
Link ID: _y304, 出現回数: 2426, current_velocityが0の割合: 0.42
Link ID: _y417, 出現回数: 2423, current_velocityが0の割合: 0.02
Link ID: _y616, 出現回数: 2414, current_velocityが0の割合: 0.34
Link ID: _y042, 出現回数: 2168, current_velocityが0の割合: 0.42
Link ID: _y886, 出現回数: 2160, current_velocityが0の割合: 0.32
Link ID: _y609, 出現回数: 2054, current_velocityが0の割合: 0.38
Link ID: _y891, 出現回数: 1957, current_velocityが0の割合: 0.02
Link ID: _y569, 出現回数: 1950, current_velocityが0の割合: 0.01
Link ID: _y033, 出現回数: 1925, current_velocityが0の割合: 0.02
Link ID: _y598, 出現回数: 1919, current_velocityが0の割合: 0.35
Link ID: _y867, 出現回数: 1916, current_velocityが0の割合: 0.15
Link ID: _y186, 出現回数: 1888, current_velocityが0の割合: 0.20
Link ID: _y926, 出現回数: 1849, current_velocityが0の割合: 0.13
Link ID: _y307, 出現回数: 1809, current_velocityが0の割合: 0.18
Link ID: _y064, 出現回数: 1801, current_velocityが0の割合: 0.01
Link ID: _y937, 出現回数: 1796, current_velocityが0の割合: 0.09
Link ID: _y692, 出現回数: 1744, current_velocityが0の割合: 0.01
Link ID: _y567, 出現回数: 1719, current_velocityが0の割合: 0.00
Link ID: _y302, 出現回数: 1712, current_velocityが0の割合: 0.04
Link ID: _y925, 出現回数: 1704, current_velocityが0の割合: 0.41
Link ID: _y496, 出現回数: 1682, current_velocityが0の割合: 0.06
Link ID: _y180, 出現回数: 1679, current_velocityが0の割合: 0.00
Link ID: _y662, 出現回数: 1661, current_velocityが0の割合: 0.20
Link ID: _y645, 出現回数: 1605, current_velocityが0の割合: 0.24
Link ID: _y871, 出現回数: 1595, current_velocityが0の割合: 0.12
Link ID: _y321, 出現回数: 1458, current_velocityが0の割合: 0.03
Link ID: _y611, 出現回数: 1429, current_velocityが0の割合: 0.05
Link ID: _y480, 出現回数: 1426, current_velocityが0の割合: 0.01
Link ID: _y467, 出現回数: 1340, current_velocityが0の割合: 0.00
Link ID: _y929, 出現回数: 1294, current_velocityが0の割合: 0.08
Link ID: _y873, 出現回数: 1207, current_velocityが0の割合: 0.02
Link ID: _y927, 出現回数: 1193, current_velocityが0の割合: 0.26
Link ID: _y399, 出現回数: 1190, current_velocityが0の割合: 0.00
Link ID: _y572, 出現回数: 1171, current_velocityが0の割合: 0.00
Link ID: _y322, 出現回数: 1152, current_velocityが0の割合: 0.06
Link ID: _y698, 出現回数: 1095, current_velocityが0の割合: 0.03
Link ID: _y528, 出現回数: 1067, current_velocityが0の割合: 0.08
Link ID: _y553, 出現回数: 1067, current_velocityが0の割合: 0.02
Link ID: _y236, 出現回数: 1059, current_velocityが0の割合: 0.13
Link ID: _y474, 出現回数: 1059, current_velocityが0の割合: 0.07
Link ID: _y932, 出現回数: 1043, current_velocityが0の割合: 0.10
Link ID: _y045, 出現回数: 1030, current_velocityが0の割合: 0.02
Link ID: _y578, 出現回数: 1016, current_velocityが0の割合: 0.27
Link ID: _y592, 出現回数: 993, current_velocityが0の割合: 0.01
Link ID: _y526, 出現回数: 984, current_velocityが0の割合: 0.09
Link ID: _y138, 出現回数: 975, current_velocityが0の割合: 0.08
Link ID: _y202, 出現回数: 960, current_velocityが0の割合: 0.01
Link ID: _y205, 出現回数: 953, current_velocityが0の割合: 0.01
Link ID: _y687, 出現回数: 940, current_velocityが0の割合: 0.00
Link ID: _y460, 出現回数: 922, current_velocityが0の割合: 0.01
Link ID: _y898, 出現回数: 922, current_velocityが0の割合: 0.09
Link ID: _y869, 出現回数: 874, current_velocityが0の割合: 0.33
Link ID: _y489, 出現回数: 859, current_velocityが0の割合: 0.12
Link ID: _y854, 出現回数: 858, current_velocityが0の割合: 0.07
Link ID: _y076, 出現回数: 853, current_velocityが0の割合: 0.10
Link ID: _y499, 出現回数: 838, current_velocityが0の割合: 0.00
Link ID: _y021, 出現回数: 836, current_velocityが0の割合: 0.05
Link ID: _y946, 出現回数: 830, current_velocityが0の割合: 0.06
Link ID: _y276, 出現回数: 824, current_velocityが0の割合: 0.02
Link ID: _y623, 出現回数: 815, current_velocityが0の割合: 0.23
Link ID: _y153, 出現回数: 815, current_velocityが0の割合: 0.12
Link ID: _y189, 出現回数: 789, current_velocityが0の割合: 0.00
Link ID: _y921, 出現回数: 785, current_velocityが0の割合: 0.13
Link ID: _y682, 出現回数: 784, current_velocityが0の割合: 0.20
Link ID: _y892, 出現回数: 777, current_velocityが0の割合: 0.00
Link ID: _y889, 出現回数: 745, current_velocityが0の割合: 0.04
Link ID: _y240, 出現回数: 742, current_velocityが0の割合: 0.37
Link ID: _y1190, 出現回数: 729, current_velocityが0の割合: 0.07
Link ID: _y433, 出現回数: 728, current_velocityが0の割合: 0.01
Link ID: _y041, 出現回数: 725, current_velocityが0の割合: 0.00
Link ID: _y524, 出現回数: 711, current_velocityが0の割合: 0.02
Link ID: _y788, 出現回数: 711, current_velocityが0の割合: 0.01
Link ID: _y485, 出現回数: 706, current_velocityが0の割合: 0.01
Link ID: _y012, 出現回数: 705, current_velocityが0の割合: 0.14
Link ID: _y065, 出現回数: 697, current_velocityが0の割合: 0.02
Link ID: _y263, 出現回数: 662, current_velocityが0の割合: 0.21
Link ID: _y267, 出現回数: 658, current_velocityが0の割合: 0.03
Link ID: _y882, 出現回数: 651, current_velocityが0の割合: 0.33
Link ID: _y265, 出現回数: 650, current_velocityが0の割合: 0.00
Link ID: _y264, 出現回数: 637, current_velocityが0の割合: 0.12
Link ID: _y140, 出現回数: 634, current_velocityが0の割合: 0.06
Link ID: _y455, 出現回数: 631, current_velocityが0の割合: 0.01
Link ID: _y432, 出現回数: 630, current_velocityが0の割合: 0.02
Link ID: _y936, 出現回数: 622, current_velocityが0の割合: 0.01
Link ID: _y029, 出現回数: 614, current_velocityが0の割合: 0.02
Link ID: _y011, 出現回数: 614, current_velocityが0の割合: 0.27
Link ID: _y1123, 出現回数: 610, current_velocityが0の割合: 0.03
Link ID: _y643, 出現回数: 602, current_velocityが0の割合: 0.18
Link ID: _y664, 出現回数: 600, current_velocityが0の割合: 0.00
Link ID: _y289, 出現回数: 587, current_velocityが0の割合: 0.03
Link ID: _y874, 出現回数: 578, current_velocityが0の割合: 0.02
Link ID: _y568, 出現回数: 577, current_velocityが0の割合: 0.05
Link ID: _y392, 出現回数: 573, current_velocityが0の割合: 0.05
Link ID: _y500, 出現回数: 570, current_velocityが0の割合: 0.05
Link ID: _y458, 出現回数: 561, current_velocityが0の割合: 0.05
Link ID: _y410, 出現回数: 558, current_velocityが0の割合: 0.01
Link ID: _y594, 出現回数: 541, current_velocityが0の割合: 0.66
Link ID: _y425, 出現回数: 531, current_velocityが0の割合: 0.00
Link ID: _y1138, 出現回数: 530, current_velocityが0の割合: 0.25
Link ID: _y909, 出現回数: 518, current_velocityが0の割合: 0.05
Link ID: _y427, 出現回数: 509, current_velocityが0の割合: 0.00
Link ID: _y523, 出現回数: 503, current_velocityが0の割合: 0.00
Link ID: _y778, 出現回数: 498, current_velocityが0の割合: 0.24
Link ID: _y525, 出現回数: 494, current_velocityが0の割合: 0.11
Link ID: _y397, 出現回数: 493, current_velocityが0の割合: 0.04
Link ID: _y171, 出現回数: 493, current_velocityが0の割合: 0.12
Link ID: _y739, 出現回数: 488, current_velocityが0の割合: 0.01
Link ID: _y150, 出現回数: 475, current_velocityが0の割合: 0.17
Link ID: _y152, 出現回数: 471, current_velocityが0の割合: 0.01
Link ID: _y919, 出現回数: 468, current_velocityが0の割合: 0.13
Link ID: _y658, 出現回数: 462, current_velocityが0の割合: 0.03
Link ID: _y541, 出現回数: 456, current_velocityが0の割合: 0.08
Link ID: _y603, 出現回数: 452, current_velocityが0の割合: 0.08
Link ID: _y683, 出現回数: 450, current_velocityが0の割合: 0.02
Link ID: _y310, 出現回数: 442, current_velocityが0の割合: 0.02
Link ID: _y415, 出現回数: 438, current_velocityが0の割合: 0.17
Link ID: _y173, 出現回数: 436, current_velocityが0の割合: 0.74
Link ID: _y1051, 出現回数: 428, current_velocityが0の割合: 0.02
Link ID: _y1182, 出現回数: 424, current_velocityが0の割合: 0.02
Link ID: _y147, 出現回数: 421, current_velocityが0の割合: 0.04
Link ID: _y575, 出現回数: 419, current_velocityが0の割合: 0.06
Link ID: _y301, 出現回数: 419, current_velocityが0の割合: 0.04
Link ID: _y379, 出現回数: 413, current_velocityが0の割合: 0.15
Link ID: _y956, 出現回数: 395, current_velocityが0の割合: 0.14
Link ID: _y552, 出現回数: 395, current_velocityが0の割合: 0.02
Link ID: _y756, 出現回数: 393, current_velocityが0の割合: 0.09
Link ID: _y634, 出現回数: 376, current_velocityが0の割合: 0.24
Link ID: _y595, 出現回数: 373, current_velocityが0の割合: 0.35
Link ID: _y694, 出現回数: 371, current_velocityが0の割合: 0.02
Link ID: _y531, 出現回数: 370, current_velocityが0の割合: 0.00
Link ID: _y644, 出現回数: 369, current_velocityが0の割合: 0.22
Link ID: _y588, 出現回数: 367, current_velocityが0の割合: 0.07
Link ID: _y288, 出現回数: 362, current_velocityが0の割合: 0.15
Link ID: _y617, 出現回数: 356, current_velocityが0の割合: 0.04
Link ID: _y296, 出現回数: 355, current_velocityが0の割合: 0.01
Link ID: _y309, 出現回数: 351, current_velocityが0の割合: 0.09
Link ID: _y409, 出現回数: 348, current_velocityが0の割合: 0.16
Link ID: _y697, 出現回数: 345, current_velocityが0の割合: 0.05
Link ID: _y560, 出現回数: 339, current_velocityが0の割合: 0.02
Link ID: _y090, 出現回数: 335, current_velocityが0の割合: 0.01
Link ID: _y017, 出現回数: 334, current_velocityが0の割合: 0.06
Link ID: _y608, 出現回数: 328, current_velocityが0の割合: 0.03
Link ID: _y494, 出現回数: 324, current_velocityが0の割合: 0.15
Link ID: _y197, 出現回数: 323, current_velocityが0の割合: 0.13
Link ID: _y707, 出現回数: 321, current_velocityが0の割合: 0.06
Link ID: _y660, 出現回数: 320, current_velocityが0の割合: 0.16
Link ID: _y860, 出現回数: 315, current_velocityが0の割合: 0.03
Link ID: _y148, 出現回数: 310, current_velocityが0の割合: 0.02
Link ID: _y421, 出現回数: 301, current_velocityが0の割合: 0.22
Link ID: _y615, 出現回数: 297, current_velocityが0の割合: 0.10
Link ID: _y732, 出現回数: 295, current_velocityが0の割合: 0.23
Link ID: _y023, 出現回数: 293, current_velocityが0の割合: 0.15
Link ID: _y890, 出現回数: 291, current_velocityが0の割合: 0.09
Link ID: _y378, 出現回数: 289, current_velocityが0の割合: 0.00
Link ID: _y693, 出現回数: 288, current_velocityが0の割合: 0.03
Link ID: _y955, 出現回数: 287, current_velocityが0の割合: 0.09
Link ID: _y394, 出現回数: 285, current_velocityが0の割合: 0.08
Link ID: _y454, 出現回数: 283, current_velocityが0の割合: 0.02
Link ID: _y231, 出現回数: 281, current_velocityが0の割合: 0.30
Link ID: _y440, 出現回数: 278, current_velocityが0の割合: 0.01
Link ID: _y332, 出現回数: 278, current_velocityが0の割合: 0.00
Link ID: _y596, 出現回数: 273, current_velocityが0の割合: 0.03
Link ID: _y924, 出現回数: 265, current_velocityが0の割合: 0.18
Link ID: _y191, 出現回数: 264, current_velocityが0の割合: 0.23
Link ID: _y655, 出現回数: 261, current_velocityが0の割合: 0.04
Link ID: _y411, 出現回数: 257, current_velocityが0の割合: 0.12
Link ID: _y013, 出現回数: 256, current_velocityが0の割合: 0.02
Link ID: _y406, 出現回数: 254, current_velocityが0の割合: 0.34
Link ID: _y934, 出現回数: 247, current_velocityが0の割合: 0.13
Link ID: _y323, 出現回数: 238, current_velocityが0の割合: 0.16
Link ID: _y405, 出現回数: 233, current_velocityが0の割合: 0.16
Link ID: _y557, 出現回数: 222, current_velocityが0の割合: 0.12
Link ID: _y293, 出現回数: 222, current_velocityが0の割合: 0.09
Link ID: _y1195, 出現回数: 216, current_velocityが0の割合: 0.08
Link ID: _y866, 出現回数: 214, current_velocityが0の割合: 0.30
Link ID: _y388, 出現回数: 206, current_velocityが0の割合: 0.08
Link ID: _y163, 出現回数: 204, current_velocityが0の割合: 0.23
Link ID: _y487, 出現回数: 203, current_velocityが0の割合: 0.03
Link ID: _y930, 出現回数: 199, current_velocityが0の割合: 0.08
Link ID: _y705, 出現回数: 196, current_velocityが0の割合: 0.15
Link ID: _y387, 出現回数: 193, current_velocityが0の割合: 0.06
Link ID: _y772, 出現回数: 188, current_velocityが0の割合: 0.19
Link ID: _y696, 出現回数: 186, current_velocityが0の割合: 0.06
Link ID: _y548, 出現回数: 183, current_velocityが0の割合: 0.05
Link ID: _y1120, 出現回数: 181, current_velocityが0の割合: 0.07
Link ID: _y1115, 出現回数: 180, current_velocityが0の割合: 0.03
Link ID: _y502, 出現回数: 179, current_velocityが0の割合: 0.07
Link ID: _y448, 出現回数: 175, current_velocityが0の割合: 0.01
Link ID: _y262, 出現回数: 172, current_velocityが0の割合: 0.07
Link ID: _y260, 出現回数: 167, current_velocityが0の割合: 0.12
Link ID: _y648, 出現回数: 167, current_velocityが0の割合: 0.44
Link ID: _y434, 出現回数: 167, current_velocityが0の割合: 0.26
Link ID: _y472, 出現回数: 162, current_velocityが0の割合: 0.01
Link ID: _y229, 出現回数: 159, current_velocityが0の割合: 0.01
Link ID: _y625, 出現回数: 158, current_velocityが0の割合: 0.13
Link ID: _y273, 出現回数: 158, current_velocityが0の割合: 0.02
Link ID: _y1130, 出現回数: 154, current_velocityが0の割合: 0.06
Link ID: _y787, 出現回数: 151, current_velocityが0の割合: 0.01
Link ID: _y897, 出現回数: 151, current_velocityが0の割合: 0.04
Link ID: _y774, 出現回数: 150, current_velocityが0の割合: 0.16
Link ID: _y091, 出現回数: 149, current_velocityが0の割合: 0.01
Link ID: _y737, 出現回数: 149, current_velocityが0の割合: 0.01
Link ID: _y922, 出現回数: 148, current_velocityが0の割合: 0.51
Link ID: _y074, 出現回数: 146, current_velocityが0の割合: 0.12
Link ID: _y784, 出現回数: 145, current_velocityが0の割合: 0.18
Link ID: _y1136, 出現回数: 144, current_velocityが0の割合: 0.12
Link ID: _y044, 出現回数: 143, current_velocityが0の割合: 0.03
Link ID: _y769, 出現回数: 138, current_velocityが0の割合: 0.19
Link ID: _y360, 出現回数: 138, current_velocityが0の割合: 0.01
Link ID: _y268, 出現回数: 137, current_velocityが0の割合: 0.09
Link ID: _y555, 出現回数: 135, current_velocityが0の割合: 0.13
Link ID: _y1134, 出現回数: 135, current_velocityが0の割合: 0.09
Link ID: _y740, 出現回数: 134, current_velocityが0の割合: 0.19
Link ID: _y181, 出現回数: 133, current_velocityが0の割合: 0.90
Link ID: _y1139, 出現回数: 133, current_velocityが0の割合: 0.06
Link ID: _y1127, 出現回数: 131, current_velocityが0の割合: 0.12
Link ID: _y020, 出現回数: 128, current_velocityが0の割合: 0.20
Link ID: _y624, 出現回数: 126, current_velocityが0の割合: 0.11
Link ID: _y478, 出現回数: 123, current_velocityが0の割合: 0.05
Link ID: _y517, 出現回数: 121, current_velocityが0の割合: 0.20
Link ID: _y1122, 出現回数: 119, current_velocityが0の割合: 0.17
Link ID: _y856, 出現回数: 119, current_velocityが0の割合: 0.02
Link ID: _y681, 出現回数: 118, current_velocityが0の割合: 0.10
Link ID: _y1111, 出現回数: 117, current_velocityが0の割合: 0.06
Link ID: _y080, 出現回数: 116, current_velocityが0の割合: 0.01
Link ID: _y300, 出現回数: 115, current_velocityが0の割合: 0.03
Link ID: _y168, 出現回数: 108, current_velocityが0の割合: 0.09
Link ID: _y182, 出現回数: 104, current_velocityが0の割合: 0.17
Link ID: _y508, 出現回数: 97, current_velocityが0の割合: 0.06
Link ID: _y931, 出現回数: 92, current_velocityが0の割合: 0.12
Link ID: _y477, 出現回数: 92, current_velocityが0の割合: 0.11
Link ID: _y018, 出現回数: 91, current_velocityが0の割合: 0.01
Link ID: _y331, 出現回数: 90, current_velocityが0の割合: 0.11
Link ID: _y620, 出現回数: 87, current_velocityが0の割合: 0.08
Link ID: _y703, 出現回数: 85, current_velocityが0の割合: 0.12
Link ID: _y514, 出現回数: 83, current_velocityが0の割合: 0.10
Link ID: _y503, 出現回数: 83, current_velocityが0の割合: 0.05
Link ID: _y1042, 出現回数: 78, current_velocityが0の割合: 0.21
Link ID: _y775, 出現回数: 76, current_velocityが0の割合: 0.01
Link ID: _y665, 出現回数: 75, current_velocityが0の割合: 0.04
Link ID: _y776, 出現回数: 75, current_velocityが0の割合: 0.11
Link ID: _y753, 出現回数: 75, current_velocityが0の割合: 0.04
Link ID: _y404, 出現回数: 74, current_velocityが0の割合: 0.14
Link ID: _y677, 出現回数: 74, current_velocityが0の割合: 0.18
Link ID: _y470, 出現回数: 72, current_velocityが0の割合: 0.28
Link ID: _y450, 出現回数: 70, current_velocityが0の割合: 0.20
Link ID: _y509, 出現回数: 70, current_velocityが0の割合: 0.11
Link ID: _y738, 出現回数: 70, current_velocityが0の割合: 0.07
Link ID: _y763, 出現回数: 68, current_velocityが0の割合: 0.12
Link ID: _y453, 出現回数: 67, current_velocityが0の割合: 0.01
Link ID: _y385, 出現回数: 64, current_velocityが0の割合: 0.02
Link ID: _y744, 出現回数: 60, current_velocityが0の割合: 0.03
Link ID: _y238, 出現回数: 60, current_velocityが0の割合: 0.13
Link ID: _y359, 出現回数: 60, current_velocityが0の割合: 0.13
Link ID: _y401, 出現回数: 58, current_velocityが0の割合: 0.19
Link ID: _y176, 出現回数: 56, current_velocityが0の割合: 0.07
Link ID: _y710, 出現回数: 55, current_velocityが0の割合: 0.11
Link ID: _y858, 出現回数: 52, current_velocityが0の割合: 0.15
Link ID: _y437, 出現回数: 51, current_velocityが0の割合: 0.02
Link ID: _y654, 出現回数: 51, current_velocityが0の割合: 0.16
Link ID: _y734, 出現回数: 50, current_velocityが0の割合: 0.12
Link ID: _y1114, 出現回数: 49, current_velocityが0の割合: 0.04
Link ID: _y538, 出現回数: 48, current_velocityが0の割合: 0.25
