Link ID: _y1165, current_velocityが0の割合: 1.00, 出現回数: 2
Link ID: _y181, current_velocityが0の割合: 0.90, 出現回数: 133
Link ID: _y173, current_velocityが0の割合: 0.74, 出現回数: 436
Link ID: _y594, current_velocityが0の割合: 0.66, 出現回数: 541
Link ID: _y859, current_velocityが0の割合: 0.62, 出現回数: 24
Link ID: _y949, current_velocityが0の割合: 0.55, 出現回数: 33
Link ID: _y244, current_velocityが0の割合: 0.53, 出現回数: 15
Link ID: _y922, current_velocityが0の割合: 0.51, 出現回数: 148
Link ID: _y233, current_velocityが0の割合: 0.50, 出現回数: 2
Link ID: _y237, current_velocityが0の割合: 0.50, 出現回数: 4
Link ID: _y251, current_velocityが0の割合: 0.50, 出現回数: 18
Link ID: _y253, current_velocityが0の割合: 0.50, 出現回数: 2
Link ID: _y030, current_velocityが0の割合: 0.48, 出現回数: 11813
Link ID: _y591, current_velocityが0の割合: 0.46, 出現回数: 8102
Link ID: _y648, current_velocityが0の割合: 0.44, 出現回数: 167
Link ID: _y607, current_velocityが0の割合: 0.43, 出現回数: 28
Link ID: _y304, current_velocityが0の割合: 0.42, 出現回数: 2426
Link ID: _y042, current_velocityが0の割合: 0.42, 出現回数: 2168
Link ID: _y621, current_velocityが0の割合: 0.42, 出現回数: 2635
Link ID: _y925, current_velocityが0の割合: 0.41, 出現回数: 1704
Link ID: _y609, current_velocityが0の割合: 0.38, 出現回数: 2054
Link ID: _y240, current_velocityが0の割合: 0.37, 出現回数: 742
Link ID: _y595, current_velocityが0の割合: 0.35, 出現回数: 373
Link ID: _y598, current_velocityが0の割合: 0.35, 出現回数: 1919
Link ID: _y616, current_velocityが0の割合: 0.34, 出現回数: 2414
Link ID: _y406, current_velocityが0の割合: 0.34, 出現回数: 254
Link ID: _y239, current_velocityが0の割合: 0.33, 出現回数: 12
Link ID: _y650, current_velocityが0の割合: 0.33, 出現回数: 12
Link ID: _y869, current_velocityが0の割合: 0.33, 出現回数: 874
