Link ID: _y1092, 出現回数: 99, 単位面積当りの出現回数: 110.00, vの平均: 0.80
Link ID: _y427, 出現回数: 7372, 単位面積当りの出現回数: 106.30, vの平均: 0.35
Link ID: _y029, 出現回数: 6000, 単位面積当りの出現回数: 101.94, vの平均: 0.23
Link ID: _y041, 出現回数: 5203, 単位面積当りの出現回数: 78.63, vの平均: 0.35
Link ID: _y429, 出現回数: 23976, 単位面積当りの出現回数: 76.43, vの平均: 0.67
Link ID: _y859, 出現回数: 225, 単位面積当りの出現回数: 71.11, vの平均: 0.09
Link ID: _y276, 出現回数: 22801, 単位面積当りの出現回数: 69.24, vの平均: 0.14
Link ID: _y260, 出現回数: 5906, 単位面積当りの出現回数: 64.46, vの平均: 0.10
Link ID: _y660, 出現回数: 3124, 単位面積当りの出現回数: 63.16, vの平均: 0.19
Link ID: _y430, 出現回数: 4894, 単位面積当りの出現回数: 63.11, vの平均: 0.44
Link ID: _y433, 出現回数: 7805, 単位面積当りの出現回数: 59.94, vの平均: 0.46
Link ID: _y079, 出現回数: 30542, 単位面積当りの出現回数: 57.33, vの平均: 0.59
Link ID: _y1148, 出現回数: 51, 単位面積当りの出現回数: 56.67, vの平均: 0.83
Link ID: _y489, 出現回数: 5457, 単位面積当りの出現回数: 53.79, vの平均: 0.34
Link ID: _y644, 出現回数: 2325, 単位面積当りの出現回数: 51.36, vの平均: 0.21
Link ID: _y664, 出現回数: 6810, 単位面積当りの出現回数: 51.09, vの平均: 0.21
Link ID: _y267, 出現回数: 6512, 単位面積当りの出現回数: 49.71, vの平均: 0.43
Link ID: _y321, 出現回数: 5269, 単位面積当りの出現回数: 48.83, vの平均: 0.62
Link ID: _y658, 出現回数: 1907, 単位面積当りの出現回数: 48.77, vの平均: 0.47
Link ID: _y643, 出現回数: 1362, 単位面積当りの出現回数: 46.84, vの平均: 0.28
Link ID: _y1199, 出現回数: 42, 単位面積当りの出現回数: 46.67, vの平均: 0.78
Link ID: _y417, 出現回数: 11569, 単位面積当りの出現回数: 45.72, vの平均: 0.81
Link ID: _y302, 出現回数: 11378, 単位面積当りの出現回数: 45.46, vの平均: 0.71
Link ID: _y651, 出現回数: 4025, 単位面積当りの出現回数: 44.35, vの平均: 0.32
Link ID: _y1105, 出現回数: 38, 単位面積当りの出現回数: 42.22, vの平均: 0.66
Link ID: _y621, 出現回数: 2721, 単位面積当りの出現回数: 40.09, vの平均: 0.33
Link ID: _y152, 出現回数: 6343, 単位面積当りの出現回数: 40.08, vの平均: 0.28
Link ID: _y649, 出現回数: 7021, 単位面積当りの出現回数: 39.53, vの平均: 0.35
Link ID: _y307, 出現回数: 3070, 単位面積当りの出現回数: 36.88, vの平均: 0.77
Link ID: _y301, 出現回数: 3508, 単位面積当りの出現回数: 35.67, vの平均: 0.31
Link ID: _y378, 出現回数: 3778, 単位面積当りの出現回数: 35.29, vの平均: 0.17
Link ID: _y646, 出現回数: 2959, 単位面積当りの出現回数: 35.21, vの平均: 0.82
Link ID: _y1003, 出現回数: 31, 単位面積当りの出現回数: 34.44, vの平均: 0.73
Link ID: _y030, 出現回数: 18625, 単位面積当りの出現回数: 34.07, vの平均: 0.34
Link ID: _y411, 出現回数: 2342, 単位面積当りの出現回数: 33.59, vの平均: 0.79
Link ID: _y423, 出現回数: 3781, 単位面積当りの出現回数: 33.52, vの平均: 0.12
Link ID: _y080, 出現回数: 1256, 単位面積当りの出現回数: 33.04, vの平均: 0.37
Link ID: _y460, 出現回数: 7767, 単位面積当りの出現回数: 32.89, vの平均: 0.93
Link ID: _y885, 出現回数: 10750, 単位面積当りの出現回数: 32.12, vの平均: 0.85
Link ID: _y230, 出現回数: 28, 単位面積当りの出現回数: 31.11, vの平均: 0.16
Link ID: _y304, 出現回数: 2966, 単位面積当りの出現回数: 30.19, vの平均: 0.42
Link ID: _y499, 出現回数: 2556, 単位面積当りの出現回数: 29.62, vの平均: 0.81
Link ID: _y1167, 出現回数: 26, 単位面積当りの出現回数: 28.89, vの平均: 0.93
Link ID: _y412, 出現回数: 1872, 単位面積当りの出現回数: 28.66, vの平均: 0.88
Link ID: _y406, 出現回数: 2291, 単位面積当りの出現回数: 28.58, vの平均: 0.21
Link ID: _y685, 出現回数: 5546, 単位面積当りの出現回数: 28.19, vの平均: 0.38
Link ID: _y1168, 出現回数: 25, 単位面積当りの出現回数: 27.78, vの平均: 1.00
Link ID: _y689, 出現回数: 1275, 単位面積当りの出現回数: 27.70, vの平均: 0.57
Link ID: _y459, 出現回数: 1664, 単位面積当りの出現回数: 27.66, vの平均: 0.95
Link ID: _y599, 出現回数: 9043, 単位面積当りの出現回数: 26.91, vの平均: 0.49
Link ID: _y419, 出現回数: 3428, 単位面積当りの出現回数: 26.32, vの平均: 0.91
Link ID: _y478, 出現回数: 3302, 単位面積当りの出現回数: 25.91, vの平均: 0.09
Link ID: _y691, 出現回数: 3621, 単位面積当りの出現回数: 25.62, vの平均: 0.83
Link ID: _y270, 出現回数: 1752, 単位面積当りの出現回数: 25.53, vの平均: 0.32
Link ID: _y322, 出現回数: 6749, 単位面積当りの出現回数: 24.35, vの平均: 0.43
Link ID: _y692, 出現回数: 6117, 単位面積当りの出現回数: 23.92, vの平均: 0.64
Link ID: _y296, 出現回数: 6876, 単位面積当りの出現回数: 23.57, vの平均: 0.46
Link ID: _y598, 出現回数: 1696, 単位面積当りの出現回数: 23.33, vの平均: 0.39
