Link ID: _y181, current_velocityが0の割合: 0.90, 出現回数: 271
Link ID: _y478, current_velocityが0の割合: 0.89, 出現回数: 3302
Link ID: _y859, current_velocityが0の割合: 0.87, 出現回数: 225
Link ID: _y260, current_velocityが0の割合: 0.87, 出現回数: 5906
Link ID: _y423, current_velocityが0の割合: 0.84, 出現回数: 3781
Link ID: _y866, current_velocityが0の割合: 0.83, 出現回数: 2545
Link ID: _y230, current_velocityが0の割合: 0.82, 出現回数: 28
Link ID: _y276, current_velocityが0の割合: 0.82, 出現回数: 22801
Link ID: _y378, current_velocityが0の割合: 0.76, 出現回数: 3778
Link ID: _y788, current_velocityが0の割合: 0.76, 出現回数: 7063
Link ID: _y379, current_velocityが0の割合: 0.76, 出現回数: 2841
Link ID: _y664, current_velocityが0の割合: 0.75, 出現回数: 6810
Link ID: _y406, current_velocityが0の割合: 0.74, 出現回数: 2291
Link ID: _y789, current_velocityが0の割合: 0.73, 出現回数: 1397
Link ID: _y660, current_velocityが0の割合: 0.73, 出現回数: 3124
Link ID: _y264, current_velocityが0の割合: 0.71, 出現回数: 2129
Link ID: _y247, current_velocityが0の割合: 0.71, 出現回数: 7
Link ID: _y173, current_velocityが0の割合: 0.71, 出現回数: 745
Link ID: _y265, current_velocityが0の割合: 0.70, 出現回数: 1787
Link ID: _y617, current_velocityが0の割合: 0.70, 出現回数: 1777
Link ID: _y776, current_velocityが0の割合: 0.68, 出現回数: 240
Link ID: _y236, current_velocityが0の割合: 0.68, 出現回数: 6765
Link ID: _y497, current_velocityが0の割合: 0.68, 出現回数: 962
Link ID: _y385, current_velocityが0の割合: 0.68, 出現回数: 2499
Link ID: _y865, current_velocityが0の割合: 0.67, 出現回数: 515
Link ID: _y029, current_velocityが0の割合: 0.67, 出現回数: 6000
Link ID: _y644, current_velocityが0の割合: 0.66, 出現回数: 2325
Link ID: _y154, current_velocityが0の割合: 0.64, 出現回数: 11
Link ID: _y490, current_velocityが0の割合: 0.63, 出現回数: 479
Link ID: _y496, current_velocityが0の割合: 0.63, 出現回数: 7122
Link ID: _y270, current_velocityが0の割合: 0.62, 出現回数: 1752
Link ID: _y152, current_velocityが0の割合: 0.62, 出現回数: 6343
Link ID: _y268, current_velocityが0の割合: 0.62, 出現回数: 11811
Link ID: _y474, current_velocityが0の割合: 0.61, 出現回数: 9554
Link ID: _y762, current_velocityが0の割合: 0.61, 出現回数: 1347
Link ID: _y427, current_velocityが0の割合: 0.60, 出現回数: 7372
Link ID: _y254, current_velocityが0の割合: 0.60, 出現回数: 20
Link ID: _y301, current_velocityが0の割合: 0.60, 出現回数: 3508
Link ID: _y431, current_velocityが0の割合: 0.60, 出現回数: 2151
Link ID: _y643, current_velocityが0の割合: 0.59, 出現回数: 1362
Link ID: _y030, current_velocityが0の割合: 0.59, 出現回数: 18625
Link ID: _y251, current_velocityが0の割合: 0.58, 出現回数: 24
Link ID: _y244, current_velocityが0の割合: 0.58, 出現回数: 19
Link ID: _y253, current_velocityが0の割合: 0.57, 出現回数: 7
Link ID: _y649, current_velocityが0の割合: 0.57, 出現回数: 7021
Link ID: _y651, current_velocityが0の割合: 0.57, 出現回数: 4025
Link ID: _y621, current_velocityが0の割合: 0.57, 出現回数: 2721
Link ID: _y949, current_velocityが0の割合: 0.56, 出現回数: 48
Link ID: _y240, current_velocityが0の割合: 0.56, 出現回数: 1050
Link ID: _y502, current_velocityが0の割合: 0.55, 出現回数: 2595
Link ID: _y655, current_velocityが0の割合: 0.55, 出現回数: 1001
Link ID: _y685, current_velocityが0の割合: 0.54, 出現回数: 5546
Link ID: _y041, current_velocityが0の割合: 0.54, 出現回数: 5203
Link ID: _y1116, current_velocityが0の割合: 0.54, 出現回数: 39
Link ID: _y239, current_velocityが0の割合: 0.53, 出現回数: 15
Link ID: _y433, current_velocityが0の割合: 0.52, 出現回数: 7805
Link ID: _y430, current_velocityが0の割合: 0.52, 出現回数: 4894
Link ID: _y757, current_velocityが0の割合: 0.52, 出現回数: 272
Link ID: _y410, current_velocityが0の割合: 0.52, 出現回数: 3621
Link ID: _y322, current_velocityが0の割合: 0.51, 出現回数: 6749
Link ID: _y197, current_velocityが0の割合: 0.51, 出現回数: 1697
Link ID: _y489, current_velocityが0の割合: 0.51, 出現回数: 5457
Link ID: _y076, current_velocityが0の割合: 0.50, 出現回数: 3252
Link ID: _y296, current_velocityが0の割合: 0.50, 出現回数: 6876
Link ID: _y557, current_velocityが0の割合: 0.50, 出現回数: 695
Link ID: _y267, current_velocityが0の割合: 0.50, 出現回数: 6512
Link ID: _y080, current_velocityが0の割合: 0.50, 出現回数: 1256
Link ID: _y233, current_velocityが0の割合: 0.50, 出現回数: 2
