Link ID: _y079, 出現回数: 5116, current_velocityが0の割合: 0.28
Link ID: _y429, 出現回数: 4050, current_velocityが0の割合: 0.25
Link ID: _y276, 出現回数: 3845, current_velocityが0の割合: 0.83
Link ID: _y030, 出現回数: 3126, current_velocityが0の割合: 0.60
Link ID: _y268, 出現回数: 2044, current_velocityが0の割合: 0.64
Link ID: _y417, 出現回数: 1973, current_velocityが0の割合: 0.13
Link ID: _y302, 出現回数: 1925, current_velocityが0の割合: 0.20
Link ID: _y885, 出現回数: 1813, current_velocityが0の割合: 0.09
Link ID: _y474, 出現回数: 1695, current_velocityが0の割合: 0.65
Link ID: _y596, 出現回数: 1657, current_velocityが0の割合: 0.01
Link ID: _y599, 出現回数: 1512, current_velocityが0の割合: 0.40
Link ID: _y433, 出現回数: 1297, current_velocityが0の割合: 0.52
Link ID: _y460, 出現回数: 1295, current_velocityが0の割合: 0.03
Link ID: _y284, 出現回数: 1264, current_velocityが0の割合: 0.47
Link ID: _y496, 出現回数: 1249, current_velocityが0の割合: 0.65
Link ID: _y427, 出現回数: 1242, current_velocityが0の割合: 0.60
Link ID: _y788, 出現回数: 1236, current_velocityが0の割合: 0.80
Link ID: _y649, 出現回数: 1181, current_velocityが0の割合: 0.58
Link ID: _y327, 出現回数: 1175, current_velocityが0の割合: 0.33
Link ID: _y854, 出現回数: 1173, current_velocityが0の割合: 0.35
Link ID: _y296, 出現回数: 1154, current_velocityが0の割合: 0.53
Link ID: _y236, 出現回数: 1148, current_velocityが0の割合: 0.70
Link ID: _y322, 出現回数: 1145, current_velocityが0の割合: 0.54
Link ID: _y664, 出現回数: 1137, current_velocityが0の割合: 0.76
Link ID: _y399, 出現回数: 1069, current_velocityが0の割合: 0.15
Link ID: _y267, 出現回数: 1059, current_velocityが0の割合: 0.51
Link ID: _y152, 出現回数: 1056, current_velocityが0の割合: 0.62
Link ID: _y692, 出現回数: 1029, current_velocityが0の割合: 0.24
Link ID: _y260, 出現回数: 1005, current_velocityが0の割合: 0.87
Link ID: _y029, 出現回数: 991, current_velocityが0の割合: 0.66
Link ID: _y093, 出現回数: 969, current_velocityが0の割合: 0.36
Link ID: _y567, 出現回数: 918, current_velocityが0の割合: 0.01
Link ID: _y685, 出現回数: 916, current_velocityが0の割合: 0.55
Link ID: _y489, 出現回数: 915, current_velocityが0の割合: 0.50
Link ID: _y321, 出現回数: 903, current_velocityが0の割合: 0.30
Link ID: _y041, 出現回数: 872, current_velocityが0の割合: 0.56
Link ID: _y611, 出現回数: 824, current_velocityが0の割合: 0.05
Link ID: _y525, 出現回数: 824, current_velocityが0の割合: 0.41
Link ID: _y430, 出現回数: 814, current_velocityが0の割合: 0.51
Link ID: _y867, 出現回数: 770, current_velocityが0の割合: 0.25
Link ID: _y432, 出現回数: 717, current_velocityが0の割合: 0.32
Link ID: _y400, 出現回数: 717, current_velocityが0の割合: 0.04
Link ID: _y698, 出現回数: 686, current_velocityが0の割合: 0.22
Link ID: _y651, 出現回数: 673, current_velocityが0の割合: 0.55
Link ID: _y500, 出現回数: 654, current_velocityが0の割合: 0.27
Link ID: _y891, 出現回数: 646, current_velocityが0の割合: 0.16
Link ID: _y378, 出現回数: 628, current_velocityが0の割合: 0.75
Link ID: _y423, 出現回数: 623, current_velocityが0の割合: 0.81
Link ID: _y691, 出現回数: 608, current_velocityが0の割合: 0.00
Link ID: _y410, 出現回数: 602, current_velocityが0の割合: 0.53
Link ID: _y886, 出現回数: 592, current_velocityが0の割合: 0.35
Link ID: _y301, 出現回数: 587, current_velocityが0の割合: 0.59
Link ID: _y263, 出現回数: 577, current_velocityが0の割合: 0.55
Link ID: _y419, 出現回数: 568, current_velocityが0の割合: 0.05
Link ID: _y1123, 出現回数: 553, current_velocityが0の割合: 0.22
Link ID: _y478, 出現回数: 549, current_velocityが0の割合: 0.88
Link ID: _y569, 出現回数: 548, current_velocityが0の割合: 0.05
Link ID: _y076, 出現回数: 547, current_velocityが0の割合: 0.56
Link ID: _y480, 出現回数: 545, current_velocityが0の割合: 0.32
Link ID: _y660, 出現回数: 529, current_velocityが0の割合: 0.74
Link ID: _y307, 出現回数: 519, current_velocityが0の割合: 0.12
Link ID: _y502, 出現回数: 516, current_velocityが0の割合: 0.64
Link ID: _y379, 出現回数: 511, current_velocityが0の割合: 0.81
Link ID: _y761, 出現回数: 507, current_velocityが0の割合: 0.44
Link ID: _y687, 出現回数: 503, current_velocityが0の割合: 0.01
Link ID: _y140, 出現回数: 499, current_velocityが0の割合: 0.49
Link ID: _y646, 出現回数: 499, current_velocityが0の割合: 0.01
Link ID: _y304, 出現回数: 492, current_velocityが0の割合: 0.44
Link ID: _y871, 出現回数: 490, current_velocityが0の割合: 0.18
Link ID: _y425, 出現回数: 490, current_velocityが0の割合: 0.09
Link ID: _y392, 出現回数: 486, current_velocityが0の割合: 0.50
Link ID: _y406, 出現回数: 469, current_velocityが0の割合: 0.80
Link ID: _y138, 出現回数: 467, current_velocityが0の割合: 0.42
Link ID: _y662, 出現回数: 464, current_velocityが0の割合: 0.38
Link ID: _y866, 出現回数: 463, current_velocityが0の割合: 0.92
Link ID: _y385, 出現回数: 455, current_velocityが0の割合: 0.78
Link ID: _y289, 出現回数: 447, current_velocityが0の割合: 0.49
Link ID: _y186, 出現回数: 446, current_velocityが0の割合: 0.41
Link ID: _y621, 出現回数: 445, current_velocityが0の割合: 0.56
Link ID: _y458, 出現回数: 440, current_velocityが0の割合: 0.35
Link ID: _y531, 出現回数: 429, current_velocityが0の割合: 0.05
Link ID: _y926, 出現回数: 408, current_velocityが0の割合: 0.32
Link ID: _y411, 出現回数: 405, current_velocityが0の割合: 0.21
Link ID: _y739, 出現回数: 399, current_velocityが0の割合: 0.26
Link ID: _y898, 出現回数: 392, current_velocityが0の割合: 0.34
Link ID: _y523, 出現回数: 390, current_velocityが0の割合: 0.01
Link ID: _y644, 出現回数: 385, current_velocityが0の割合: 0.68
Link ID: _y264, 出現回数: 378, current_velocityが0の割合: 0.78
Link ID: _y927, 出現回数: 374, current_velocityが0の割合: 0.51
Link ID: _y045, 出現回数: 373, current_velocityが0の割合: 0.20
Link ID: _y526, 出現回数: 373, current_velocityが0の割合: 0.28
Link ID: _y869, 出現回数: 363, current_velocityが0の割合: 0.45
Link ID: _y431, 出現回数: 351, current_velocityが0の割合: 0.62
Link ID: _y506, 出現回数: 350, current_velocityが0の割合: 0.40
Link ID: _y645, 出現回数: 346, current_velocityが0の割合: 0.46
Link ID: _y937, 出現回数: 343, current_velocityが0の割合: 0.28
Link ID: _y1115, 出現回数: 339, current_velocityが0の割合: 0.13
Link ID: _y064, 出現回数: 334, current_velocityが0の割合: 0.35
Link ID: _y275, 出現回数: 332, current_velocityが0の割合: 0.19
Link ID: _y397, 出現回数: 330, current_velocityが0の割合: 0.15
Link ID: _y475, 出現回数: 329, current_velocityが0の割合: 0.45
Link ID: _y564, 出現回数: 327, current_velocityが0の割合: 0.04
Link ID: _y508, 出現回数: 325, current_velocityが0の割合: 0.06
Link ID: _y658, 出現回数: 322, current_velocityが0の割合: 0.39
Link ID: _y412, 出現回数: 319, current_velocityが0の割合: 0.06
Link ID: _y459, 出現回数: 316, current_velocityが0の割合: 0.04
Link ID: _y153, 出現回数: 312, current_velocityが0の割合: 0.33
Link ID: _y033, 出現回数: 312, current_velocityが0の割合: 0.10
Link ID: _y616, 出現回数: 307, current_velocityが0の割合: 0.31
Link ID: _y265, 出現回数: 306, current_velocityが0の割合: 0.75
Link ID: _y873, 出現回数: 302, current_velocityが0の割合: 0.02
Link ID: _y270, 出現回数: 301, current_velocityが0の割合: 0.59
Link ID: _y617, 出現回数: 298, current_velocityが0の割合: 0.63
Link ID: _y598, 出現回数: 293, current_velocityが0の割合: 0.47
Link ID: _y619, 出現回数: 293, current_velocityが0の割合: 0.01
Link ID: _y197, 出現回数: 288, current_velocityが0の割合: 0.53
Link ID: _y440, 出現回数: 287, current_velocityが0の割合: 0.06
Link ID: _y310, 出現回数: 286, current_velocityが0の割合: 0.25
Link ID: _y932, 出現回数: 283, current_velocityが0の割合: 0.39
Link ID: _y925, 出現回数: 282, current_velocityが0の割合: 0.37
Link ID: _y657, 出現回数: 271, current_velocityが0の割合: 0.36
Link ID: _y789, 出現回数: 271, current_velocityが0の割合: 0.81
Link ID: _y1118, 出現回数: 270, current_velocityが0の割合: 0.11
Link ID: _y528, 出現回数: 268, current_velocityが0の割合: 0.36
Link ID: _y485, 出現回数: 266, current_velocityが0の割合: 0.16
Link ID: _y405, 出現回数: 265, current_velocityが0の割合: 0.54
Link ID: _y1120, 出現回数: 263, current_velocityが0の割合: 0.37
Link ID: _y039, 出現回数: 263, current_velocityが0の割合: 0.26
Link ID: _y021, 出現回数: 247, current_velocityが0の割合: 0.17
Link ID: _y929, 出現回数: 246, current_velocityが0の割合: 0.33
Link ID: _y592, 出現回数: 242, current_velocityが0の割合: 0.38
Link ID: _y889, 出現回数: 242, current_velocityが0の割合: 0.31
Link ID: _y690, 出現回数: 240, current_velocityが0の割合: 0.11
Link ID: _y1182, 出現回数: 235, current_velocityが0の割合: 0.27
Link ID: _y686, 出現回数: 234, current_velocityが0の割合: 0.27
Link ID: _y643, 出現回数: 232, current_velocityが0の割合: 0.56
Link ID: _y080, 出現回数: 226, current_velocityが0の割合: 0.48
Link ID: _y762, 出現回数: 222, current_velocityが0の割合: 0.59
Link ID: _y309, 出現回数: 221, current_velocityが0の割合: 0.44
Link ID: _y150, 出現回数: 220, current_velocityが0の割合: 0.19
Link ID: _y689, 出現回数: 220, current_velocityが0の割合: 0.25
Link ID: _y338, 出現回数: 216, current_velocityが0の割合: 0.00
Link ID: _y892, 出現回数: 213, current_velocityが0の割合: 0.23
Link ID: _y744, 出現回数: 212, current_velocityが0の割合: 0.00
Link ID: _y780, 出現回数: 206, current_velocityが0の割合: 0.01
Link ID: _y240, 出現回数: 203, current_velocityが0の割合: 0.62
Link ID: _y553, 出現回数: 203, current_velocityが0の割合: 0.19
Link ID: _y787, 出現回数: 203, current_velocityが0の割合: 0.28
Link ID: _y594, 出現回数: 202, current_velocityが0の割合: 0.03
Link ID: _y042, 出現回数: 199, current_velocityが0の割合: 0.39
Link ID: _y623, 出現回数: 199, current_velocityが0の割合: 0.46
Link ID: _y682, 出現回数: 197, current_velocityが0の割合: 0.62
Link ID: _y756, 出現回数: 193, current_velocityが0の割合: 0.35
Link ID: _y681, 出現回数: 191, current_velocityが0の割合: 0.47
Link ID: _y467, 出現回数: 191, current_velocityが0の割合: 0.64
Link ID: _y388, 出現回数: 187, current_velocityが0の割合: 0.67
Link ID: _y205, 出現回数: 185, current_velocityが0の割合: 0.15
Link ID: _y524, 出現回数: 183, current_velocityが0の割合: 0.04
Link ID: _y578, 出現回数: 183, current_velocityが0の割合: 0.43
Link ID: _y609, 出現回数: 182, current_velocityが0の割合: 0.16
Link ID: _y882, 出現回数: 181, current_velocityが0の割合: 0.10
Link ID: _y909, 出現回数: 181, current_velocityが0の割合: 0.23
Link ID: _y497, 出現回数: 181, current_velocityが0の割合: 0.76
Link ID: _y273, 出現回数: 180, current_velocityが0の割合: 0.21
Link ID: _y890, 出現回数: 179, current_velocityが0の割合: 0.45
Link ID: _y396, 出現回数: 177, current_velocityが0の割合: 0.10
Link ID: _y487, 出現回数: 177, current_velocityが0の割合: 0.39
Link ID: _y860, 出現回数: 172, current_velocityが0の割合: 0.19
Link ID: _y874, 出現回数: 172, current_velocityが0の割合: 0.01
Link ID: _y655, 出現回数: 170, current_velocityが0の割合: 0.57
Link ID: _y653, 出現回数: 166, current_velocityが0の割合: 0.08
Link ID: _y694, 出現回数: 165, current_velocityが0の割合: 0.05
Link ID: _y778, 出現回数: 164, current_velocityが0の割合: 0.28
Link ID: _y683, 出現回数: 162, current_velocityが0の割合: 0.07
Link ID: _y555, 出現回数: 160, current_velocityが0の割合: 0.70
Link ID: _y769, 出現回数: 159, current_velocityが0の割合: 0.58
Link ID: _y171, 出現回数: 159, current_velocityが0の割合: 0.17
Link ID: _y568, 出現回数: 157, current_velocityが0の割合: 0.31
Link ID: _y409, 出現回数: 155, current_velocityが0の割合: 0.50
Link ID: _y763, 出現回数: 154, current_velocityが0の割合: 0.52
Link ID: _y505, 出現回数: 150, current_velocityが0の割合: 0.01
Link ID: _y921, 出現回数: 149, current_velocityが0の割合: 0.19
Link ID: _y173, 出現回数: 147, current_velocityが0の割合: 0.71
Link ID: _y603, 出現回数: 143, current_velocityが0の割合: 0.26
Link ID: _y394, 出現回数: 143, current_velocityが0の割合: 0.35
Link ID: _y608, 出現回数: 140, current_velocityが0の割合: 0.05
Link ID: _y557, 出現回数: 139, current_velocityが0の割合: 0.76
Link ID: _y647, 出現回数: 138, current_velocityが0の割合: 0.49
Link ID: _y305, 出現回数: 137, current_velocityが0の割合: 0.03
Link ID: _y556, 出現回数: 136, current_velocityが0の割合: 0.43
Link ID: _y189, 出現回数: 136, current_velocityが0の割合: 0.01
Link ID: _y784, 出現回数: 135, current_velocityが0の割合: 0.59
Link ID: _y1051, 出現回数: 134, current_velocityが0の割合: 0.10
Link ID: _y262, 出現回数: 134, current_velocityが0の割合: 0.46
Link ID: _y1190, 出現回数: 132, current_velocityが0の割合: 0.30
Link ID: _y856, 出現回数: 132, current_velocityが0の割合: 0.48
Link ID: _y258, 出現回数: 131, current_velocityが0の割合: 0.11
Link ID: _y541, 出現回数: 130, current_velocityが0の割合: 0.35
Link ID: _y504, 出現回数: 126, current_velocityが0の割合: 0.24
Link ID: _y147, 出現回数: 122, current_velocityが0の割合: 0.12
Link ID: _y946, 出現回数: 119, current_velocityが0の割合: 0.08
Link ID: _y455, 出現回数: 119, current_velocityが0の割合: 0.42
Link ID: _y323, 出現回数: 117, current_velocityが0の割合: 0.54
Link ID: _y775, 出現回数: 116, current_velocityが0の割合: 0.28
Link ID: _y494, 出現回数: 116, current_velocityが0の割合: 0.49
Link ID: _y560, 出現回数: 115, current_velocityが0の割合: 0.59
Link ID: _y464, 出現回数: 114, current_velocityが0の割合: 0.53
Link ID: _y509, 出現回数: 113, current_velocityが0の割合: 0.39
Link ID: _y415, 出現回数: 113, current_velocityが0の割合: 0.30
Link ID: _y563, 出現回数: 112, current_velocityが0の割合: 0.24
Link ID: _y1138, 出現回数: 112, current_velocityが0の割合: 0.29
Link ID: _y012, 出現回数: 111, current_velocityが0の割合: 0.43
Link ID: _y1111, 出現回数: 111, current_velocityが0の割合: 0.36
Link ID: _y1191, 出現回数: 108, current_velocityが0の割合: 0.01
Link ID: _y675, 出現回数: 108, current_velocityが0の割合: 0.58
Link ID: _y919, 出現回数: 107, current_velocityが0の割合: 0.44
Link ID: _y697, 出現回数: 104, current_velocityが0の割合: 0.27
Link ID: _y703, 出現回数: 104, current_velocityが0の割合: 0.53
Link ID: _y422, 出現回数: 103, current_velocityが0の割合: 0.01
Link ID: _y231, 出現回数: 102, current_velocityが0の割合: 0.80
Link ID: _y740, 出現回数: 102, current_velocityが0の割合: 0.55
Link ID: _y202, 出現回数: 102, current_velocityが0の割合: 0.07
Link ID: _y288, 出現回数: 102, current_velocityが0の割合: 0.50
Link ID: _y023, 出現回数: 98, current_velocityが0の割合: 0.62
