link_id,row_num
_y030,89
_y268,65
_y474,36
_y478,28
_y621,26
_y644,26
_y761,25
_y854,25
_y506,22
_y649,18
_y405,17
_y660,14
_y475,14
_y651,12
_y406,10
_y658,8
_y480,7
_y599,7
_y682,7
_y925,6
_y616,6
_y784,5
_y556,5
_y598,5
_y609,5
_y927,5
_y273,4
_y029,4
_y643,4
_y494,4
_y686,4
_y692,4
_y489,3
_y509,3
_y467,3
_y296,3
_y560,3
_y571,3
_y685,3
_y310,2
_y321,2
_y263,2
_y289,2
_y557,2
_y592,2
_y924,2
_y611,2
_y675,2
_y392,1
_y288,1
_y302,1
_y425,1
_y775,1
_y740,1
_y410,1
_y615,1
_y703,1
_y672,1
_y575,1
_y578,1
-1,1
_y477,1
_y1182,1
_y698,1
