GenerationFileの情報,エージェントID,発生時刻1,発生時刻2,到着時刻1,到着時刻2,移動時間1,移動時間2
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag02100,12:00:00,0,12:00:06,6,00:00:06,6
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag02865,12:00:00,0,12:00:06,6,00:00:06,6
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag00099,12:00:00,0,12:00:06,6,00:00:06,6
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag00871,12:00:00,0,12:00:06,6,00:00:06,6
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag23" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag00288,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag23" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag01484,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag965" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag04374,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag23" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag06054,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag23" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag02379,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag608" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag00180,12:00:00,0,12:00:12,12,00:00:12,12
